物件名,築年数,専有面積
東京メトロ有楽町線 月島駅 3階建 築7年,7,22.59
京王新線 初台駅 9階建 築23年,23,21.0
エル・セレーノ元赤坂レジデンス,13,52.29
アークヒルズ仙石山レジデンス,13,56.34
THE　CONOE代官山　ザ・コノエ代官山,10,63.37
ザ・パークハウス西新宿タワー60,8,35.66
ヴィセオ幡ヶ谷,18,30.0
京王新線 幡ヶ谷駅 5階建 築18年,18,30.0
パークコート赤坂ザタワー,16,37.26
東京メトロ有楽町線 月島駅 7階建 築44年,44,45.31
パークアクシス恵比寿,16,43.09
東京メトロ南北線 本駒込駅 13階建 築25年,25,24.23
クレセント虎ノ門新橋,6,20.7
パークハビオ赤坂タワー,10,21.96
リヴィエールブラン,4,39.38
ワイズパティオ,8,38.42
グランディール初台,18,28.79
EDIT代々木,10,20.0
プレサージオ,5,40.16
ブライズ新宿中井,17,39.92
プレサージオ,5,40.16
ザ・パークハウス渋谷美竹,12,36.73
レジディア広尾II,20,21.91
ＬＩＢＲ　ＧＲＡＮＴ　四谷三丁目,2,25.05
都営大江戸線 落合南長崎駅 2階建 築8年,8,53.5
東京メトロ日比谷線 人形町駅 14階建 築22年,22,21.05
ＡＫＫレジデンス新宿(エーケーケーレジデンスシンジュク),35,55.27
SELAN代々木上原,30,20.0
リバーレ東新宿,7,32.22
ジオ四谷荒木町,7,47.01
グランディオール広尾テラス,12,20.09
ステージファースト代々木,26,27.31
FLATS-A 渋谷笹塚テラス,2,47.09
ストーリア赤坂,23,60.4
京王新線 初台駅 9階建 築26年,26,27.31
コンフォリア北参道,20,31.73
東京メトロ南北線 後楽園駅 4階建 築7年,7,25.01
est　エスト,9,33.21
ビション渋谷道玄坂,12,21.29
コンフォリア銀座イースト,20,24.1
プロスペクト渋谷道玄坂,20,36.64
フロンティア新宿タワー,8,30.37
カーサスプレンディッド南麻布フラット,5,40.41
ザ・パークハビオ新宿,8,25.17
ディームス初台I,10,20.71
パークコート赤坂檜町ザ　タワー,7,37.26
パークフロント新宿,6,31.84
ステージファースト代々木公園,23,20.3
東京メトロ千代田線 代々木公園駅 9階建 築23年,23,20.3
グランドコンシェルジュ麻布,11,25.82
グランドメゾン千駄木中央,30,20.81
コンフォリア新宿イーストサイドタワー タワー棟,14,41.23
ザ・パークハビオ市ヶ谷イースト,0,35.62
都営大江戸線 西新宿五丁目駅 10階建 築26年,26,19.68
クレアシオン渋谷,26,20.09
HF三田レジデンスII,19,26.96
トリエールＥＢＩＳＵ,7,20.64
ミュプレ渋谷,5,33.17
BELLE  LUMIERE,40,78.9
ＢＥＬＬＥ　　ＬＵＭＩＥＲＥ,40,78.9
BPRレジデンス三田伊皿子坂,18,28.36
Duo stage白金高輪,18,30.05
一ツ橋フォレスター,24,30.02
パークアクシスプレミア表参道,8,31.64
北新宿ハピネス大町,44,51.44
