物件名,築年数,専有面積
ニューライフ千駄木壱番館,42,18.15
トーコー水道橋マンション,44,22.24
東京メトロ銀座線 溜池山王駅 地下3地上26階建 築16年,16,71.49
ドエル三田,41,55.09
エスパース田町,48,41.76
グリーンステージ早大通り,36,38.88
都営三田線 白金高輪駅 3階建 築17年,17,25.13
東京メトロ南北線 飯田橋駅 14階建 築13年,13,26.2
メゾンドール高輪,53,89.7
フォーリーフクローバー神楽坂,0,60.61
ＪＲ中央線 市ケ谷駅 9階建 築12年,12,25.58
東京メトロ南北線 白金高輪駅 11階建 築2年,2,26.97
プレインハイツ,31,30.69
京王新線 初台駅 4階建 築4年,4,25.47
サンライズ早稲田,23,31.47
ＪＲ山手線 新大久保駅 11階建 築3年,3,44.33
藤和シティコープ初台,39,22.65
都営浅草線 三田駅 14階建 築20年,20,22.0
東京メトロ副都心線 新宿三丁目駅 地下1地上14階建 築9年,9,25.39
榎荘,73,10.0
トーア岩本町マンション,44,18.12
タウンハイツ本郷,34,16.13
グランスイート神楽坂,21,48.23
東京メトロ東西線 神楽坂駅 地下1地上14階建 築21年,21,48.23
ベラカーサハマナカ,36,46.53
シェーネ白金,51,76.69
シャンボール第二築地,52,38.02
アーバンコート初台II,10,26.21
クレイシア新宿,9,25.41
オリエンタル新宿コーポラス,55,53.46
東京メトロ日比谷線 広尾駅 地下1地上5階建 築17年,17,68.88
東京メトロ有楽町線 江戸川橋駅 8階建 築11年,11,27.14
ゼン神楽坂,6,40.11
東京メトロ東西線 神楽坂駅 9階建 築6年,6,40.11
アーバンコート初台II,10,26.21
榊原戸建,44,56.31
トーア岩本町マンション,44,18.12
都営新宿線 曙橋駅 6階建 築4年,4,39.96
ＢＡＹＳＩＤＥ　６９７７０７０７６４,21,24.83
都営大江戸線 春日駅 2階建 築50年,50,5.2
SWAN　LAKE　TSUKIJI,39,30.0
マルク神楽坂,9,25.27
京王新線 幡ヶ谷駅 3階建 築19年,19,27.74
ラ・白金,17,34.65
高輪タウンハウス,47,41.87
都営三田線 芝公園駅 9階建 築25年,25,21.87
京王新線 幡ヶ谷駅 4階建 築28年,28,20.0
京王新線 幡ヶ谷駅 2階建 築32年,32,35.07
ＪＲ中央線 飯田橋駅 4階建 築10年,10,25.52
ＪＲ山手線 浜松町駅 5階建 築40年,40,50.18
ＪＲ山手線 渋谷駅 地下1地上12階建 築52年,52,54.65
第18宮庭マンション,52,54.65
グランドメゾン新宿曙橋,6,42.6
東京メトロ丸ノ内線 四ツ谷駅 3階建 築12年,12,35.11
ＪＲ山手線 新橋駅 5階建 築22年,22,21.38
田中アパート,70,17.4
ドエル千石,48,7.3
京王線 笹塚駅 3階建 築43年,43,29.7
マルク神楽坂,9,25.27
ＪＲ山手線 渋谷駅 地下1地上12階建 築52年,52,54.65
第18宮庭マンション,52,54.65
東京メトロ南北線 麻布十番駅 4階建 築29年,29,61.77
京王線 笹塚駅 3階建 築43年,43,29.7
京王新線 幡ヶ谷駅 3階建 築13年,13,24.73
ＪＲ山手線 高輪ゲートウェイ駅 9階建 築13年,13,31.72
パークリッジ三田,57,40.75
ＪＲ中央線 飯田橋駅 4階建 築10年,10,25.52
ウインザーコート麻布十番,16,21.33
都営大江戸線 春日駅 2階建 築50年,50,5.2
ルピナス高輪,20,36.6
ヨコソーレインボータワーハイツ,30,63.45
プレミアステージ三田慶大前,21,29.87
ＪＲ山手線 田町駅 10階建 築21年,21,29.87
メインステージカテリーナ恵比寿駅前,22,27.37
SWAN　LAKE　TSUKIJI,39,30.0
グランドメゾン新宿曙橋,6,42.6
都営三田線 御成門駅 12階建 築22年,22,19.7
サンメイツ渋谷,30,25.39
ライオンズマンション代々木第2,40,21.0
東京メトロ千代田線 赤坂駅 12階建 築23年,23,23.16
東京メトロ丸ノ内線 四ツ谷駅 3階建 築12年,12,35.11
パセオ新宿3丁目,5,39.54
スカイコートヒルズ新宿,11,25.58
京王新線 幡ヶ谷駅 8階建 築35年,35,27.0
東京メトロ南北線 白金高輪駅 14階建 築5年,5,38.97
都営大江戸線 西新宿五丁目駅 6階建 築12年,12,25.34
ガリシア新宿都庁前,12,25.35
京王線 笹塚駅 3階建 築34年,34,19.73
ＳＹ５５９１,7,13.16
東京メトロ南北線 白金高輪駅 14階建 築5年,5,38.97
都営大江戸線 若松河田駅 8階建 築9年,9,25.08
セントラル第一青山,57,26.44
SWAN　LAKE　TSUKIJI,39,30.0
京王新線 幡ヶ谷駅 6階建 築45年,45,34.18
京王線 笹塚駅 2階建 築45年,45,29.2
藤和白金台コープ,45,60.13
ＣＯＭＦＯＵＲＴＩＳ,18,26.55
東急東横線 代官山駅 3階建 築32年,32,24.7
田中アパート,70,17.4
ヴィラ・シャリオ,49,34.11
ルーブル南麻布,23,30.75
東京メトロ南北線 白金高輪駅 12階建 築23年,23,30.75
CREAL高田馬場,5,30.1
西武新宿線 下落合駅 地下1地上2階建 築5年,5,30.1
ドエル千石,48,7.3
SOU高田馬場II,9,30.77
京王線 笹塚駅 3階建 築42年,42,29.7
東京メトロ日比谷線 六本木駅 6階建 築55年,55,107.25
東京メトロ千代田線 赤坂駅 12階建 築19年,19,35.04
エクレール元代々木上原,34,14.88
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築18年,18,25.63
京王新線 幡ヶ谷駅 3階建 築44年,44,25.92
都営三田線 芝公園駅 10階建 築6年,6,25.49
荒川ビル,65,89.42
ＪＲ中央線 東中野駅 7階建 築8年,8,26.66
都営大江戸線 麻布十番駅 13階建 築21年,21,27.9
都営三田線 三田駅 7階建 築18年,18,25.18
赤坂ミツワビル,46,49.2
エクセレント新橋,26,22.22
東京メトロ有楽町線 江戸川橋駅 2階建 築53年,53,12.96
エクレール元代々木上原,34,14.88
京王新線 幡ヶ谷駅 3階建 築44年,44,25.92
南青山ハウス,0,135.77
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築18年,18,25.63
荒川ビル,65,89.42
ＪＲ中央線 東中野駅 7階建 築8年,8,26.66
グランフェリシア西麻布,6,40.89
東京メトロ日比谷線 広尾駅 4階建 築6年,6,40.89
東京メトロ南北線 白金高輪駅 2階建 築14年,14,16.54
グランエッグス白金高輪,11,26.21
パークサイド参宮橋,40,26.77
セルカディア港区芝浦,19,20.21
ＪＲ山手線 田町駅 9階建 築19年,19,20.21
都営新宿線 曙橋駅 地下1地上3階建 築7年,7,23.01
東京メトロ東西線 早稲田駅 5階建 築38年,38,38.84
フェニックス浜松町,12,22.2
京王新線 初台駅 12階建 築18年,18,23.98
都営新宿線 曙橋駅 5階建 築8年,8,26.0
東京メトロ南北線 白金高輪駅 13階建 築18年,18,40.74
都営大江戸線 牛込神楽坂駅 地下1地上7階建 築16年,16,20.48
グランクール高輪,10,31.72
プラザ新大樹　本棟,54,82.0
都営大江戸線 東新宿駅 14階建 築54年,54,78.0
グランドハイツ八丁堀,42,18.85
ハイツニュー笹塚,37,17.32
マンション日美３,40,21.56
クーカイ・テラス早稲田,0,48.76
KDXレジデンス白金I,22,52.39
ＪＲ中央線 東中野駅 14階建 築5年,5,25.13
東京メトロ南北線 白金高輪駅 地下2地上22階建 築21年,21,42.03
京王新線 幡ヶ谷駅 3階建 築40年,40,24.0
ＪＲ山手線 代々木駅 7階建 築48年,48,30.64
クレイラ西早稲田,0,30.82
西武池袋線 東長崎駅 10階建 築11年,11,27.03
レジデンス白金パークフロント,17,31.16
小田急線 代々木上原駅 3階建 築35年,35,21.0
東京メトロ東西線 神楽坂駅 4階建 築16年,16,22.5
ＪＲ中央線 大久保駅 3階建 築12年,12,26.2
東京メトロ丸ノ内線 四谷三丁目駅 13階建 築10年,10,25.92
ハニービービル,30,20.0
菱和パレス高輪,26,21.56
都営三田線 白金台駅 8階建 築26年,26,21.56
幸田ビル,54,44.04
ＪＲ山手線 品川駅 地下1地上4階建 築8年,8,25.98
赤坂ＡＩＲレジデンス,8,58.54
京王新線 初台駅 5階建 築38年,38,24.42
西武新宿線 中井駅 3階建 築16年,16,21.87
東京メトロ銀座線 外苑前駅 3階建 築20年,20,40.01
東京メトロ日比谷線 広尾駅 5階建 築19年,19,43.47
東京メトロ南北線 麻布十番駅 9階建 築24年,24,25.27
シャモール南青山,24,35.0
東京メトロ銀座線 赤坂見附駅 7階建 築19年,19,40.13
インシティ浜松町,27,24.17
グランドハイツ八丁堀,42,18.85
東京メトロ南北線 本駒込駅 2階建 築56年,56,13.03
アオキプラザ,39,18.0
東京メトロ丸ノ内線 茗荷谷駅 4階建 築32年,32,26.5
東京メトロ丸ノ内線 新大塚駅 地下1地上6階建 築45年,45,21.5
アストレア元代々木,36,25.0
東京メトロ南北線 麻布十番駅 9階建 築24年,24,25.27
シャモール南青山,24,35.0
東京メトロ銀座線 赤坂見附駅 7階建 築19年,19,40.13
三幸レジデンス,45,34.18
プレミアムキューブG市谷甲良町,7,25.2
都営大江戸線 牛込柳町駅 14階建 築7年,7,25.2
インシティ浜松町,27,24.17
京王新線 初台駅 13階建 築18年,18,34.6
LUMIEC　OTOMEYAMA（ルミーク　オトメヤマ）,3,24.05
koishikawaコロン　（5F　貸倉庫・事務所）,53,7.53
都営大江戸線 牛込神楽坂駅 2階建 築8年,8,21.53
パークサイドシノハラ,35,24.0
中西コーポ,45,29.2
小田急線 代々木八幡駅 7階建 築22年,22,24.84
エルサンタフェ渋谷,22,31.8
ソフィア高輪,21,50.14
ＪＲ中央線 信濃町駅 5階建 築3年,3,22.6
モデルナ,19,46.91
岩田方,31,26.08
ヴェルレージュ乃木坂,28,44.41
第１５大協ビル,61,43.0
ＪＲ山手線 新橋駅 6階建 築22年,22,21.37
都営大江戸線 西新宿五丁目駅 3階建 築29年,29,18.62
光風荘,64,5.7
ＨＦ西新宿レジデンスＷＥＳＴ,19,32.58
ベルプラザ,40,20.25
ＪＲ山手線 田町駅 12階建 築20年,20,44.14
藤和シティコープ音羽,38,26.9
ＪＲ山手線 新橋駅 12階建 築22年,22,33.23
京王線 笹塚駅 3階建 新築,0,20.0
シエルコート笹塚,0,20.0
コープオリンピア,60,85.94
市谷薬王寺町YKマンション,8,25.9
ＪＲ山手線 新大久保駅 3階建 築23年,23,26.0
ステージグランデ神楽坂,14,25.65
ソフィア高輪,21,50.14
代々木ハイツ,45,21.71
モデルナ,19,46.91
ヴェルレージュ乃木坂,28,44.41
京王井の頭線 神泉駅 9階建 築14年,14,29.96
第１５大協ビル,61,43.0
ＪＲ山手線 新橋駅 6階建 築22年,22,21.37
京王新線 幡ヶ谷駅 13階建 築53年,53,46.18
西武新宿線 中井駅 6階建 築17年,17,26.96
ＪＲ山手線 田町駅 12階建 築20年,20,44.14
東京メトロ有楽町線 江戸川橋駅 8階建 築5年,5,25.68
ＪＲ山手線 新橋駅 12階建 築22年,22,33.23
「防音マンション」Konomi　14番館,1,30.65
グレースふじ,30,17.52
都営大江戸線 西新宿五丁目駅 4階建 築30年,30,17.52
都営大江戸線 六本木駅 9階建 築8年,8,21.82
ハーモニーレジデンス西麻布,8,21.82
東京メトロ副都心線 東新宿駅 10階建 築5年,5,25.52
芝サニーハイツ,44,41.07
ＪＲ山手線 新宿駅 地下1地上7階建 築26年,26,20.88
都営大江戸線 麻布十番駅 11階建 築23年,23,20.52
都営大江戸線 牛込柳町駅 14階建 築19年,19,28.26
ＯＨＮＯ　ＢＬＤ,27,50.8
フォートリス早稲田,38,40.0
東京メトロ日比谷線 広尾駅 11階建 築22年,22,54.76
代々木ハイツ,45,21.71
ＨＦ西新宿レジデンスＷＥＳＴ,19,32.58
京王井の頭線 神泉駅 9階建 築14年,14,29.96
【オーク高輪II】,16,27.3
京王新線 幡ヶ谷駅 13階建 築53年,53,46.18
グレースふじ,30,17.52
都営大江戸線 西新宿五丁目駅 4階建 築30年,30,17.52
都営大江戸線 西新宿五丁目駅 5階建 築10年,10,25.5
VAN RIEBEECK KASTEEL,6,29.16
パレ・ドール日本橋,45,18.28
アジリア南麻布J`s,17,59.51
ＪＲ山手線 新宿駅 地下1地上7階建 築26年,26,20.88
市谷薬王寺町YKマンション,8,25.9
ＪＲ山手線 新大久保駅 3階建 築23年,23,26.0
ステージグランデ神楽坂,14,25.65
ＬＩＶＩＯ　ＲＥＳＩＤＥＮＣＥ　ＮＩＳＨＩＡＺＡＢＵ,0,78.32
菱和パレス三田慶大前,26,21.0
加藤ビル,40,29.91
東京メトロ有楽町線 新富町駅 7階建 築41年,41,28.03
豊田コーポラス,34,21.42
西武新宿線 中井駅 6階建 築17年,17,26.96
東京メトロ有楽町線 江戸川橋駅 8階建 築5年,5,25.68
都営三田線 白金高輪駅 地下1地上15階建 築53年,53,71.15
都営浅草線 三田駅 11階建 築21年,21,34.2
「防音マンション」Konomi　14番館,1,30.65
東京メトロ副都心線 東新宿駅 10階建 築5年,5,25.52
京王新線 幡ヶ谷駅 12階建 築16年,16,20.02
都営大江戸線 牛込柳町駅 14階建 築19年,19,28.26
サウスサイド青山,36,47.24
都営大江戸線 牛込神楽坂駅 3階建 築43年,43,35.3
近藤ビル,56,35.3
エトワール恵比寿・三葉,28,21.77
イルチェントロセレーノ,19,44.27
第二コーポ岡部,32,40.0
シュエット神楽坂,18,32.16
アージョ早稲田,7,25.64
東京メトロ東西線 茅場町駅 10階建 築39年,39,21.56
ＪＲ中央線 飯田橋駅 3階建 築6年,6,43.43
ＪＲ山手線 恵比寿駅 3階建 築21年,21,22.6
S terasu minamiaoyama　エス・テラス南青山,3,44.5
都営三田線 白金高輪駅 地下1地上6階建 築57年,57,36.18
東京メトロ副都心線 東新宿駅 地下1地上32階建 築14年,14,71.99
東京ツインパークスＲ棟,23,40.07
都営大江戸線 本郷三丁目駅 2階建 築58年,58,12.3
小阪邸,29,63.18
オアシス曙橋,6,18.46
西武新宿線 中井駅 4階建 築6年,6,25.22
イアース新宿中井,6,25.22
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築2年,2,22.3
パレステュディオ虎ノ門,22,33.6
ライオンズマンション秋葉原,39,17.88
グランベル西早稲田プレシャス,18,25.51
第一金井ビル,38,20.62
VORT青山1丁目Dual’s,24,78.73
東京メトロ日比谷線 広尾駅 11階建 築22年,22,54.76
カーサエテルナ,21,20.37
メゾン代々木,36,23.46
アルテシモ サグラ,8,25.53
東京メトロ有楽町線 江戸川橋駅 10階建 築8年,8,25.53
東京メトロ有楽町線 江戸川橋駅 10階建 築8年,8,25.53
メゾンアサヒ,42,30.6
都営大江戸線 牛込柳町駅 地下1地上19階建 築22年,22,65.82
クレール,18,24.09
高城ビル,51,35.17
東京メトロ東西線 神楽坂駅 12階建 築9年,9,35.88
京王新線 初台駅 2階建 築42年,42,19.5
第一金井ビル,38,20.62
プレール・ドゥーク北新宿III,17,20.57
ＬＩＶＩＯ　ＲＥＳＩＤＥＮＣＥ　ＮＩＳＨＩＡＺＡＢＵ,0,78.32
菱和パレス三田慶大前,26,21.0
ＪＲ山手線 恵比寿駅 10階建 築22年,22,44.45
ＪＲ山手線 高田馬場駅 3階建 築5年,5,43.98
コーポ340,5,43.98
ＪＲ山手線 恵比寿駅 2階建 築42年,42,17.0
都営三田線 白金高輪駅 地下1地上15階建 築53年,53,71.15
都営浅草線 三田駅 11階建 築21年,21,34.2
サンサーラ第四御苑,40,49.41
東京メトロ丸ノ内線 新宿御苑前駅 11階建 築40年,40,49.41
コラットグリーン,11,24.36
アーバンシェル,34,31.15
東京メトロ有楽町線 江戸川橋駅 24階建 築17年,17,55.38
都営新宿線 曙橋駅 4階建 築19年,19,33.44
東京メトロ副都心線 西早稲田駅 2階建 築14年,14,27.21
サウスサイド青山,36,47.24
東京メトロ丸ノ内線 四谷三丁目駅 3階建 築18年,18,26.0
ウッズ四谷,18,26.0
グランディールY.S.,18,21.8
東京メトロ東西線 神楽坂駅 10階建 築18年,18,21.8
ＪＲ中央線 四ツ谷駅 5階建 築18年,18,20.31
川部ビル,47,40.16
キャッスルマンション荒木町,42,49.88
協和会館,58,13.0
S terasu minamiaoyama　エス・テラス南青山,3,44.5
都営三田線 白金高輪駅 地下1地上6階建 築57年,57,36.18
東京ツインパークスＲ棟,23,40.07
小阪邸,29,63.18
都営大江戸線 春日駅 3階建 築46年,46,12.0
パレステュディオ虎ノ門,22,33.6
都営大江戸線 西新宿五丁目駅 3階建 築47年,47,36.2
VORT青山1丁目Dual’s,24,78.73
東京メトロ日比谷線 広尾駅 11階建 築22年,22,54.76
メゾン若葉,42,20.0
都営新宿線 新宿三丁目駅 8階建 築25年,25,23.79
クオリア新宿余丁町,15,25.48
【オーク高輪II】,16,27.3
GranDuo早稲田,8,21.4
京王新線 初台駅 4階建 築53年,53,26.96
カーサ・ヴェルデ,30,74.95
都営大江戸線 中井駅 4階建 築4年,4,22.75
アジリア南麻布J`s,17,59.51
ＪＲ山手線 代々木駅 4階建 築37年,37,14.53
ジェントリーハイツＰａｒｔ２,31,13.25
ＬＩＶＩＯ　ＲＥＳＩＤＥＮＣＥ　ＮＩＳＨＩＡＺＡＢＵ,0,78.32
菱和パレス三田慶大前,26,21.0
京王線 笹塚駅 4階建 築35年,35,19.77
東京メトロ銀座線 末広町駅 9階建 築41年,41,56.13
ユニオンビル工新,46,56.13
荒井アパ－ト,49,23.0
スカイプラザ信濃町,17,29.29
サンク　サヴール　青山,16,60.78
都営大江戸線 春日駅 3階建 築46年,46,12.0
都営浅草線 泉岳寺駅 8階建 築57年,57,50.75
ファインレジデンス三田,13,48.61
都営大江戸線 西新宿五丁目駅 3階建 築47年,47,36.2
都営新宿線 新宿三丁目駅 8階建 築25年,25,23.79
メゾン若葉,42,20.0
クオリア新宿余丁町,15,25.48
都営三田線 白金高輪駅 8階建 築41年,41,55.09
パレステュディオ麻布イースト,20,23.15
GranDuo早稲田,8,21.4
京王新線 初台駅 4階建 築53年,53,26.96
コンフォート芝,50,50.18
東京メトロ日比谷線 虎ノ門ヒルズ駅 18階建 築6年,6,26.01
カーサ・ヴェルデ,30,74.95
都営大江戸線 中井駅 4階建 築4年,4,22.75
ジェントリーハイツＰａｒｔ２,31,13.25
ＪＲ山手線 代々木駅 4階建 築37年,37,14.53
東京メトロ南北線 麻布十番駅 6階建 築46年,46,39.6
京王線 笹塚駅 4階建 築35年,35,19.77
スカイプラザ信濃町,17,29.29
荒井アパ－ト,49,23.0
都営三田線 白金高輪駅 3階建 築8年,8,18.66
東京メトロ東西線 神楽坂駅 2階建 築19年,19,29.81
メゾン・ド・ヴィレ芝大門,26,31.37
大洋マンション,52,17.4
ラポール落合,5,50.83
西武新宿線 下落合駅 3階建 築5年,5,50.83
東京メトロ有楽町線 江戸川橋駅 3階建 築38年,38,17.5
ルネ南麻布,36,44.28
ルーク西早稲田,19,22.68
都営新宿線 曙橋駅 地下1地上4階建 築5年,5,17.21
都営大江戸線 牛込柳町駅 5階建 築17年,17,21.35
ダリアコート白金台,16,21.7
メゾンドゥース南麻布,33,74.35
花政ビル,42,22.28
都営大江戸線 西新宿五丁目駅 12階建 築21年,21,20.17
クレストコート砂土原,38,132.52
都営大江戸線 勝どき駅 4階建 築35年,35,21.8
トライファースト日高,35,21.8
O邸　※民泊不可,54,60.45
ＪＲ中央線 飯田橋駅 5階建 築3年,3,41.41
スカイコート牛込神楽坂,17,20.7
サンク　サヴール　青山,16,60.78
メローナ日本橋,44,26.14
都営浅草線 泉岳寺駅 8階建 築57年,57,50.75
ファインレジデンス三田,13,48.61
メゾンドセキヤ,44,18.15
築地永谷タウンプラザ,46,24.86
東京メトロ千代田線 代々木上原駅 2階建 築31年,31,17.39
京王線 笹塚駅 3階建 築7年,7,6.0
京王新線 初台駅 3階建 築44年,44,16.67
都営三田線 白金高輪駅 8階建 築41年,41,55.09
ＪＲ山手線 新大久保駅 地下1地上6階建 築5年,5,79.8
パレステュディオ麻布イースト,20,23.15
東京メトロ丸ノ内線 御茶ノ水駅 9階建 築50年,50,23.84
アーバンＬ２１　A棟,32,17.59
京王新線 初台駅 3階建 築27年,27,23.0
大島ハイツ,27,23.0
コンフォート芝,50,50.18
パレステュディオ麻布イースト,20,23.15
銀座パトリアタワー,19,49.43
東京メトロ日比谷線 東銀座駅 14階建 築19年,19,49.43
東京メトロ丸ノ内線 四谷三丁目駅 13階建 築21年,21,22.4
ＪＲ山手線 秋葉原駅 13階建 築22年,22,41.93
都営大江戸線 東新宿駅 11階建 築3年,3,25.42
都営三田線 白山駅 2階建 築32年,32,16.0
コンフォート芝,50,50.18
東京メトロ日比谷線 虎ノ門ヒルズ駅 18階建 築6年,6,26.01
白坂ハイム,45,46.2
日神デュオステージ新宿中落合,22,21.96
中井マンション,54,41.71
東京メトロ副都心線 東新宿駅 地下1地上13階建 築46年,46,50.0
東京メトロ南北線 市ケ谷駅 12階建 築15年,15,25.52
ＪＲ中央線 信濃町駅 13階建 築21年,21,22.4
パレステュディオ信濃町,21,22.4
Cardiff,8,19.45
東京メトロ南北線 麻布十番駅 6階建 築46年,46,39.6
京王線 笹塚駅 2階建 築37年,37,20.74
都営大江戸線 飯田橋駅 5階建 築19年,19,20.47
木村ビル,45,56.32
東京メトロ東西線 早稲田駅 3階建 築45年,45,56.32
都営大江戸線 若松河田駅 4階建 築5年,5,25.65
都営三田線 白金高輪駅 3階建 築8年,8,18.66
ＪＲ山手線 渋谷駅 15階建 築23年,23,19.91
白い家幡ヶ谷,32,16.75
東京メトロ東西線 落合駅 3階建 築40年,40,25.5
メゾン・ド・ヴィレ芝大門,26,31.37
ＪＲ中央線 信濃町駅 2階建 築19年,19,21.74
ヴェラハイツ日本橋蛎殻町,42,21.52
銀座パトリアタワー,19,49.43
東京メトロ日比谷線 東銀座駅 14階建 築19年,19,49.43
リバーサイド麻布,36,39.7
京王線 笹塚駅 2階建 築37年,37,20.74
東京メトロ丸ノ内線 四谷三丁目駅 13階建 築21年,21,22.4
都営大江戸線 東新宿駅 11階建 築3年,3,25.42
ＪＲ山手線 渋谷駅 15階建 築23年,23,19.91
東京メトロ丸ノ内線 後楽園駅 3階建 築40年,40,22.57
白い家幡ヶ谷,32,16.75
白坂ハイム,45,46.2
日神デュオステージ新宿中落合,22,21.96
中井マンション,54,41.71
東京メトロ副都心線 東新宿駅 地下1地上13階建 築46年,46,50.0
シャトーデスポワール麻布,33,42.03
東京メトロ南北線 市ケ谷駅 12階建 築15年,15,25.52
堀田ハウス西棟,59,53.75
ＪＲ中央線 信濃町駅 13階建 築21年,21,22.4
パレステュディオ信濃町,21,22.4
Cardiff,8,19.45
ユーロハイツ鉢山,45,57.99
京王新線 幡ヶ谷駅 3階建 築33年,33,20.0
アレーシブヤ,4,32.0
都営大江戸線 飯田橋駅 5階建 築19年,19,20.47
木村ビル,45,56.32
東京メトロ東西線 早稲田駅 3階建 築45年,45,56.32
ホーフ麻布,47,54.18
都営大江戸線 若松河田駅 4階建 築5年,5,25.65
都営浅草線 泉岳寺駅 5階建 築23年,23,21.16
小田急線 参宮橋駅 2階建 築28年,28,24.84
東京メトロ東西線 落合駅 3階建 築40年,40,25.5
小田急線 参宮橋駅 2階建 築28年,28,24.84
東京メトロ東西線 落合駅 3階建 築40年,40,25.5
六本木ベルハウス,47,40.0
ベルハウス,47,40.0
ＪＲ中央線 信濃町駅 2階建 築19年,19,21.74
ヴェラハイツ日本橋蛎殻町,42,21.52
都営大江戸線 東新宿駅 地下3地上11階建 築21年,21,25.29
アパガーデンズ新宿戸山公園,21,25.29
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上3階建 築42年,42,46.14
コープ四谷,42,46.14
ＪＲ山手線 恵比寿駅 2階建 築19年,19,27.74
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築18年,18,26.07
東京メトロ丸ノ内線 西新宿駅 14階建 築18年,18,26.07
都営大江戸線 中井駅 2階建 築8年,8,20.74
ラフレシール,16,27.94
西武新宿線 下落合駅 4階建 築30年,30,39.68
若松町戸建,47,44.61
都営三田線 千石駅 9階建 築54年,54,21.05
コープ市ヶ谷,61,51.52
スカイコート新宿壱番館,21,24.3
ＪＲ京葉線 八丁堀駅 8階建 築45年,45,36.45
東京メトロ南北線 麻布十番駅 地下1地上8階建 築10年,10,25.46
東京メトロ日比谷線 築地駅 8階建 築43年,43,26.58
東京メトロ有楽町線 江戸川橋駅 10階建 築19年,19,20.88
都営大江戸線 東新宿駅 12階建 築22年,22,33.04
キャスティア西新宿,8,17.31
西武新宿線 下落合駅 3階建 築19年,19,28.0
都営大江戸線 落合南長崎駅 2階建 築4年,4,21.33
東京メトロ丸ノ内線 新宿御苑前駅 10階建 築21年,21,24.77
ローリエヤマモト　リノベ　東京タワービュー,50,36.84
堀田ハウス西棟,59,53.75
東京メトロ副都心線 新宿三丁目駅 9階建 築17年,17,26.55
東京メトロ丸ノ内線 茗荷谷駅 3階建 築41年,41,20.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築16年,16,26.57
都営大江戸線 若松河田駅 5階建 築42年,42,41.0
ＪＲ山手線 目白駅 4階建 築61年,61,53.47
プレール・ドゥーク目白アベニュー,22,21.0
ホーフ麻布,47,54.18
エヴァーライフ,15,21.06
西武新宿線 下落合駅 2階建 築15年,15,21.06
都営浅草線 泉岳寺駅 5階建 築23年,23,21.16
アーバンライフ月島駅前ウエスト,27,43.63
サンハイム,38,17.39
プレール・ドゥーク新宿御苑,22,21.72
東京メトロ丸ノ内線 四谷三丁目駅 13階建 築22年,22,21.72
東京メトロ南北線 麻布十番駅 9階建 築20年,20,30.15
CUARTO初台,19,26.68
パストラルハイム面影橋,33,83.13
ヴォア代々木の杜,35,25.71
アゼイリア松本,29,42.36
東京メトロ東西線 神楽坂駅 11階建 築12年,12,25.92
パーク・ノヴァ神宮前,39,41.23
都営新宿線 曙橋駅 地下1地上4階建 築8年,8,43.4
東京メトロ南北線 本駒込駅 3階建 築57年,57,14.49
東京メトロ有楽町線 江戸川橋駅 6階建 築34年,34,21.74
AXAS初台,10,25.68
都営大江戸線 西新宿五丁目駅 14階建 築10年,10,25.68
都営大江戸線 東新宿駅 12階建 築42年,42,42.69
ＪＲ山手線 原宿駅 10階建 築22年,22,36.64
Ｃａｒｒｅｒａ,4,11.38
東京メトロ東西線 神楽坂駅 11階建 築12年,12,25.92
東京メトロ有楽町線 江戸川橋駅 6階建 築34年,34,21.74
都営新宿線 曙橋駅 地下1地上4階建 築8年,8,43.4
京王新線 初台駅 3階建 築10年,10,26.21
AXAS初台,10,25.68
都営大江戸線 西新宿五丁目駅 14階建 築10年,10,25.68
都営大江戸線 東新宿駅 12階建 築42年,42,42.69
ローリエヤマモト　リノベ　東京タワービュー,50,36.84
Ｃａｒｒｅｒａ,4,11.38
GrandStory代々木上原,30,137.46
高輪4丁目貸マンション,37,80.67
272　Bldg,27,8.11
デュオ・スカーラ西麻布タワー,22,35.36
東京メトロ日比谷線 六本木駅 14階建 築22年,22,35.36
都営大江戸線 中井駅 3階建 築8年,8,21.83
中銀ベル築地マンシオン,42,14.98
FARE恵比寿,3,20.87
都営大江戸線 若松河田駅 11階建 築16年,16,20.44
trias112,5,13.61
グランドメゾン・Ｆ,17,22.66
都営新宿線 曙橋駅 4階建 築1年,1,25.96
いーすと恵比寿,36,22.0
東京メトロ千代田線 赤坂駅 8階建 築20年,20,31.15
STUDIO KASUGA,55,21.44
東京メトロ千代田線 代々木公園駅 地下1地上3階建 築21年,21,29.15
ＪＲ中央線 四ツ谷駅 3階建 築7年,7,12.03
東京メトロ丸ノ内線 四谷三丁目駅 4階建 築10年,10,24.48
カーササシダ,33,18.0
村上コ－ポ３Ｆ,47,30.0
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上11階建 築16年,16,31.51
東京メトロ千代田線 代々木公園駅 地下1地上3階建 築21年,21,29.15
都営大江戸線 西新宿五丁目駅 9階建 築25年,25,45.4
西武新宿線 西武新宿駅 15階建 築9年,9,25.42
